PLANT_NAME,ZONE,FUEL_TYPE,BUS,PMAX,PMIN,COST
Eagle Valley (IN),MIS_INKY,NG,0,207.0,0,0
Eagle Valley (IN),MIS_INKY,NG,0,207.0,0,0
Eagle Valley (IN),MIS_INKY,NG,0,230.0,0,0
CC Perry K,MIS_INKY,NG,0,5.0,0,0
AES Petersburg,MIS_INKY,BIT,0,670.9,0,0
AES Petersburg,MIS_INKY,DFO,0,2.7,0,0
AES Petersburg,MIS_INKY,DFO,0,2.7,0,0
AES Petersburg,MIS_INKY,DFO,0,2.7,0,0
AES Petersburg,MIS_INKY,BIT,0,670.9,0,0
Norway (IN),MIS_INKY,WAT,0,2.0,0,0
Norway (IN),MIS_INKY,WAT,0,2.0,0,0
Norway (IN),MIS_INKY,WAT,0,2.0,0,0
Norway (IN),MIS_INKY,WAT,0,1.3,0,0
Oakdale,MIS_INKY,WAT,0,4.3,0,0
Oakdale,MIS_INKY,WAT,0,3.2,0,0
Oakdale,MIS_INKY,WAT,0,4.3,0,0
Cayuga,MIS_INKY,BIT,0,531.0,0,0
Cayuga,MIS_INKY,BIT,0,531.0,0,0
Cayuga,MIS_INKY,DFO,0,2.6,0,0
Cayuga,MIS_INKY,DFO,0,2.6,0,0
Cayuga,MIS_INKY,DFO,0,2.6,0,0
Cayuga,MIS_INKY,DFO,0,2.6,0,0
Cayuga,MIS_INKY,NG,0,112.5,0,0
Edwardsport,MIS_INKY,SGC,0,240.6,0,0
Edwardsport,MIS_INKY,SGC,0,240.6,0,0
Edwardsport,MIS_INKY,SGC,0,331.5,0,0
Markland,MIS_INKY,WAT,0,25.9,0,0
Markland,MIS_INKY,WAT,0,25.9,0,0
Markland,MIS_INKY,WAT,0,25.9,0,0
Noblesville,MIS_INKY,NG,0,50.0,0,0
Noblesville,MIS_INKY,NG,0,50.0,0,0
Noblesville,MIS_INKY,NG,0,61.0,0,0
Noblesville,MIS_INKY,NG,0,61.0,0,0
Noblesville,MIS_INKY,NG,0,61.0,0,0
F B Culley,MIS_INKY,BIT,0,265.2,0,0
Butler-Warner Generation Plant,S_VACA,NG,0,28.8,0,0
Butler-Warner Generation Plant,S_VACA,SUN,0,1.0,0,0
Butler-Warner Generation Plant,S_VACA,MWH,0,0.5,0,0
Butler-Warner Generation Plant,S_VACA,NG,0,28.8,0,0
Butler-Warner Generation Plant,S_VACA,NG,0,28.8,0,0
Butler-Warner Generation Plant,S_VACA,NG,0,28.8,0,0
Butler-Warner Generation Plant,S_VACA,NG,0,28.8,0,0
Butler-Warner Generation Plant,S_VACA,NG,0,28.8,0,0
Butler-Warner Generation Plant,S_VACA,NG,0,28.8,0,0
Butler-Warner Generation Plant,S_VACA,NG,0,28.8,0,0
Butler-Warner Generation Plant,S_VACA,NG,0,73.0,0,0
Peru (IN),MIS_INKY,DFO,0,1.8,0,0
Whitewater Valley,PJM_West,BIT,0,33.0,0,0
Whitewater Valley,PJM_West,BIT,0,60.9,0,0
Big Sandy,PJM_West,NG,0,280.5,0,0
Dix Dam,S_C_KY,WAT,0,9.4,0,0
Dix Dam,S_C_KY,WAT,0,9.4,0,0
Dix Dam,S_C_KY,WAT,0,9.4,0,0
E W Brown,S_C_KY,NG,0,126.0,0,0
E W Brown,S_C_KY,NG,0,126.0,0,0
E W Brown,S_C_KY,BIT,0,464.0,0,0
E W Brown,S_C_KY,NG,0,123.0,0,0
E W Brown,S_C_KY,NG,0,176.8,0,0
E W Brown,S_C_KY,NG,0,176.8,0,0
E W Brown,S_C_KY,NG,0,126.0,0,0
E W Brown,S_C_KY,NG,0,126.0,0,0
E W Brown,S_C_KY,SUN,0,13.0,0,0
Ghent,S_C_KY,BIT,0,556.9,0,0
Ghent,S_C_KY,BIT,0,556.3,0,0
Ghent,S_C_KY,BIT,0,556.5,0,0
Ghent,S_C_KY,BIT,0,556.2,0,0
Haefling,S_C_KY,NG,0,20.7,0,0
Haefling,S_C_KY,NG,0,20.7,0,0
Mother Ann Lee,S_C_KY,WAT,0,0.7,0,0
Mother Ann Lee,S_C_KY,WAT,0,0.7,0,0
Mother Ann Lee,S_C_KY,WAT,0,0.7,0,0
Cane Run,S_C_KY,NG,0,260.0,0,0
Cane Run,S_C_KY,NG,0,260.0,0,0
Cane Run,S_C_KY,NG,0,287.0,0,0
Mill Creek (KY),S_C_KY,BIT,0,462.6,0,0
Mill Creek (KY),S_C_KY,BIT,0,543.6,0,0
Ohio Falls,S_C_KY,WAT,0,13.7,0,0
Ohio Falls,S_C_KY,WAT,0,13.7,0,0
Ohio Falls,S_C_KY,WAT,0,13.7,0,0
Ohio Falls,S_C_KY,WAT,0,13.7,0,0
Ohio Falls,S_C_KY,WAT,0,13.7,0,0
Ohio Falls,S_C_KY,WAT,0,13.7,0,0
Ohio Falls,S_C_KY,WAT,0,13.7,0,0
Ohio Falls,S_C_KY,WAT,0,13.7,0,0
Paddys Run,S_C_KY,NG,0,32.6,0,0
Paddys Run,S_C_KY,NG,0,178.0,0,0
Barkley,S_C_TVA,WAT,0,32.5,0,0
Barkley,S_C_TVA,WAT,0,32.5,0,0
Barkley,S_C_TVA,WAT,0,32.5,0,0
Barkley,S_C_TVA,WAT,0,32.5,0,0
Paris (KY),S_C_KY,DFO,0,1.3,0,0
Paris (KY),S_C_KY,DFO,0,1.3,0,0
Paris (KY),S_C_KY,DFO,0,0.7,0,0
Paris (KY),S_C_KY,DFO,0,1.1,0,0
Paris (KY),S_C_KY,DFO,0,3.1,0,0
Paris (KY),S_C_KY,DFO,0,3.1,0,0
Kentucky Dam,MIS_INKY,WAT,0,44.6,0,0
Kentucky Dam,MIS_INKY,WAT,0,42.4,0,0
Kentucky Dam,MIS_INKY,WAT,0,42.4,0,0
Kentucky Dam,MIS_INKY,WAT,0,44.6,0,0
Kentucky Dam,MIS_INKY,WAT,0,44.6,0,0
Paradise,S_C_TVA,NG,0,231.2,0,0
Paradise,S_C_TVA,NG,0,231.2,0,0
Paradise,S_C_TVA,NG,0,231.2,0,0
Paradise,S_C_TVA,NG,0,231.0,0,0
Paradise,S_C_TVA,NG,0,231.0,0,0
Paradise,S_C_TVA,NG,0,231.0,0,0
Paradise,S_C_TVA,NG,0,467.0,0,0
Shawnee,S_C_TVA,SUB,0,175.0,0,0
Shawnee,S_C_TVA,SUB,0,175.0,0,0
Shawnee,S_C_TVA,SUB,0,175.0,0,0
Shawnee,S_C_TVA,SUB,0,175.0,0,0
Shawnee,S_C_TVA,SUB,0,175.0,0,0
Shawnee,S_C_TVA,SUB,0,175.0,0,0
Shawnee,S_C_TVA,SUB,0,175.0,0,0
Shawnee,S_C_TVA,SUB,0,175.0,0,0
Shawnee,S_C_TVA,SUB,0,175.0,0,0
Wolf Creek,S_C_TVA,WAT,0,45.0,0,0
Wolf Creek,S_C_TVA,WAT,0,45.0,0,0
Wolf Creek,S_C_TVA,WAT,0,45.0,0,0
Wolf Creek,S_C_TVA,WAT,0,45.0,0,0
Wolf Creek,S_C_TVA,WAT,0,45.0,0,0
Wolf Creek,S_C_TVA,WAT,0,45.0,0,0
Robert A Reid,MIS_INKY,NG,0,98.8,0,0
Cooper,PJM_West,BIT,0,113.6,0,0
Cooper,PJM_West,BIT,0,230.4,0,0
Perryman,PJM_EMAC,DFO,0,53.1,0,0
Perryman,PJM_EMAC,DFO,0,53.1,0,0
Perryman,PJM_EMAC,DFO,0,53.1,0,0
Perryman,PJM_EMAC,NG,0,192.0,0,0
Perryman,PJM_EMAC,NG,0,141.0,0,0
Philadelphia,PJM_SMAC,DFO,0,20.7,0,0
Philadelphia,PJM_SMAC,DFO,0,20.7,0,0
Philadelphia,PJM_SMAC,DFO,0,20.7,0,0
Philadelphia,PJM_SMAC,DFO,0,20.7,0,0
Crisfield,PJM_EMAC,DFO,0,2.9,0,0
