PLANT_NAME,ZONE,FUEL_TYPE,BUS,PMAX,PMIN,COST,FUEL_COST_NAME,GEN_ID,PG
LFG_MIS_INKY,MIS_INKY,LFG,0,0.8,0,0.0,,GEN_3654,0
LFG_MIS_INKY,MIS_INKY,LFG,0,0.8,0,0.0,,GEN_3655,0
LFG_MIS_INKY,MIS_INKY,LFG,0,0.8,0,0.0,,GEN_3656,0
LFG_MIS_INKY,MIS_INKY,LFG,0,0.8,0,0.0,,GEN_3657,0
LFG_MIS_INKY,MIS_INKY,LFG,0,0.8,0,0.0,,GEN_3658,0
SUN_PJM_WMAC,PJM_WMAC,SUN,0,10.1,0,0.0,,GEN_3659,0
WND_PJM_PENE,PJM_PENE,WND,0,0.0,0,0.0,,GEN_3660,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,1.0,0,0.0,,GEN_3661,0
WND_PJM_COMD,PJM_COMD,WND,0,0.0,0,0.0,,GEN_3662,0
WND_PJM_PENE,PJM_PENE,WND,0,0.0,0,0.0,,GEN_3663,0
WND_PJM_AP,PJM_AP,WND,0,0.0,0,0.0,,GEN_3664,0
SUN_S_VACA,S_VACA,SUN,0,1.2,0,0.0,,GEN_3665,0
MWH_PJM_COMD,PJM_COMD,MWH,0,20.0,0,0.0,,GEN_3666,0
WND_PJM_COMD,PJM_COMD,WND,0,0.0,0,0.0,,GEN_3667,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,1.2,0,0.0,,GEN_3668,0
SUN_S_VACA,S_VACA,SUN,0,1.9,0,0.0,,GEN_3669,0
SUN_S_VACA,S_VACA,SUN,0,1.3,0,0.0,,GEN_3670,0
SUN_S_VACA,S_VACA,SUN,0,1.0,0,0.0,,GEN_3671,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,10.0,0,0.0,,GEN_3672,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,1.7,0,0.0,,GEN_3673,0
WND_PJM_COMD,PJM_COMD,WND,0,0.0,0,0.0,,GEN_3674,0
NG_PJM_EMAC,PJM_EMAC,NG,0,235.0,0,0.0,,GEN_3675,0
NG_PJM_EMAC,PJM_EMAC,NG,0,126.0,0,0.0,,GEN_3676,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,1.0,0,0.0,,GEN_3677,0
LFG_PJM_Dom,PJM_Dom,LFG,0,0.3,0,0.0,,GEN_3678,0
LFG_PJM_Dom,PJM_Dom,LFG,0,0.3,0,0.0,,GEN_3679,0
LFG_PJM_Dom,PJM_Dom,LFG,0,0.3,0,0.0,,GEN_3680,0
LFG_PJM_Dom,PJM_Dom,LFG,0,0.3,0,0.0,,GEN_3681,0
LFG_PJM_Dom,PJM_Dom,LFG,0,0.3,0,0.0,,GEN_3682,0
LFG_PJM_Dom,PJM_Dom,LFG,0,0.3,0,0.0,,GEN_3683,0
LFG_PJM_Dom,PJM_Dom,LFG,0,0.3,0,0.0,,GEN_3684,0
LFG_PJM_Dom,PJM_Dom,LFG,0,0.3,0,0.0,,GEN_3685,0
LFG_PJM_Dom,PJM_Dom,LFG,0,0.3,0,0.0,,GEN_3686,0
LFG_PJM_Dom,PJM_Dom,LFG,0,0.3,0,0.0,,GEN_3687,0
LFG_PJM_Dom,PJM_Dom,LFG,0,0.3,0,0.0,,GEN_3688,0
LFG_PJM_Dom,PJM_Dom,LFG,0,0.3,0,0.0,,GEN_3689,0
SUN_PJM_WMAC,PJM_WMAC,SUN,0,2.0,0,0.0,,GEN_3690,0
SUN_PJM_Dom,PJM_Dom,SUN,0,1.3,0,0.0,,GEN_3691,0
LFG_S_VACA,S_VACA,LFG,0,1.1,0,0.0,,GEN_3692,0
LFG_S_VACA,S_VACA,LFG,0,1.1,0,0.0,,GEN_3693,0
SUN_PJM_WMAC,PJM_WMAC,SUN,0,2.7,0,0.0,,GEN_3694,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,2.7,0,0.0,,GEN_3695,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,3.6,0,0.0,,GEN_3696,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,1.5,0,0.0,,GEN_3697,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,2.5,0,0.0,,GEN_3698,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,2.6,0,0.0,,GEN_3699,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,2.2,0,0.0,,GEN_3700,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,1.4,0,0.0,,GEN_3701,0
WAT_MIS_INKY,MIS_INKY,WAT,0,29.3,0,0.0,,GEN_3702,0
WAT_MIS_INKY,MIS_INKY,WAT,0,29.3,0,0.0,,GEN_3703,0
WAT_MIS_INKY,MIS_INKY,WAT,0,29.3,0,0.0,,GEN_3704,0
WAT_MIS_INKY,MIS_INKY,WAT,0,25.3,0,0.0,,GEN_3705,0
WAT_MIS_INKY,MIS_INKY,WAT,0,25.3,0,0.0,,GEN_3706,0
WAT_MIS_INKY,MIS_INKY,WAT,0,25.3,0,0.0,,GEN_3707,0
WAT_PJM_AP,PJM_AP,WAT,0,22.0,0,0.0,,GEN_3708,0
WAT_PJM_AP,PJM_AP,WAT,0,22.0,0,0.0,,GEN_3709,0
SUN_S_VACA,S_VACA,SUN,0,1.0,0,0.0,,GEN_3710,0
LFG_MIS_LMI,MIS_LMI,LFG,0,1.6,0,0.0,,GEN_3711,0
LFG_MIS_LMI,MIS_LMI,LFG,0,1.6,0,0.0,,GEN_3712,0
LFG_S_C_TVA,S_C_TVA,LFG,0,1.6,0,0.0,,GEN_3713,0
LFG_S_C_TVA,S_C_TVA,LFG,0,1.6,0,0.0,,GEN_3714,0
LFG_S_C_TVA,S_C_TVA,LFG,0,1.6,0,0.0,,GEN_3715,0
LFG_PJM_ATSI,PJM_ATSI,LFG,0,0.8,0,0.0,,GEN_3716,0
LFG_PJM_ATSI,PJM_ATSI,LFG,0,0.8,0,0.0,,GEN_3717,0
LFG_PJM_ATSI,PJM_ATSI,LFG,0,0.8,0,0.0,,GEN_3718,0
LFG_PJM_ATSI,PJM_ATSI,LFG,0,0.8,0,0.0,,GEN_3719,0
LFG_PJM_ATSI,PJM_ATSI,LFG,0,0.8,0,0.0,,GEN_3720,0
LFG_PJM_ATSI,PJM_ATSI,LFG,0,0.8,0,0.0,,GEN_3721,0
LFG_PJM_ATSI,PJM_ATSI,LFG,0,0.8,0,0.0,,GEN_3722,0
LFG_PJM_ATSI,PJM_ATSI,LFG,0,0.8,0,0.0,,GEN_3723,0
LFG_PJM_ATSI,PJM_ATSI,LFG,0,0.8,0,0.0,,GEN_3724,0
LFG_PJM_ATSI,PJM_ATSI,LFG,0,0.8,0,0.0,,GEN_3725,0
SUN_PJM_WMAC,PJM_WMAC,SUN,0,3.0,0,0.0,,GEN_3726,0
WND_MIS_LMI,MIS_LMI,WND,0,0.0,0,0.0,,GEN_3727,0
SUN_PJM_Dom,PJM_Dom,SUN,0,1.3,0,0.0,,GEN_3728,0
SUN_PJM_Dom,PJM_Dom,SUN,0,1.3,0,0.0,,GEN_3729,0
SUN_PJM_Dom,PJM_Dom,SUN,0,1.3,0,0.0,,GEN_3730,0
SUN_PJM_Dom,PJM_Dom,SUN,0,1.3,0,0.0,,GEN_3731,0
SUN_PJM_Dom,PJM_Dom,SUN,0,1.3,0,0.0,,GEN_3732,0
LFG_S_VACA,S_VACA,LFG,0,1.6,0,0.0,,GEN_3733,0
LFG_MIS_LMI,MIS_LMI,LFG,0,1.6,0,0.0,,GEN_3734,0
LFG_MIS_LMI,MIS_LMI,LFG,0,1.6,0,0.0,,GEN_3735,0
LFG_MIS_LMI,MIS_LMI,LFG,0,1.6,0,0.0,,GEN_3736,0
LFG_MIS_LMI,MIS_LMI,LFG,0,1.6,0,0.0,,GEN_3737,0
LFG_MIS_LMI,MIS_LMI,LFG,0,1.6,0,0.0,,GEN_3738,0
LFG_MIS_LMI,MIS_LMI,LFG,0,1.6,0,0.0,,GEN_3739,0
LFG_MIS_LMI,MIS_LMI,LFG,0,1.6,0,0.0,,GEN_3740,0
LFG_MIS_LMI,MIS_LMI,LFG,0,1.6,0,0.0,,GEN_3741,0
WND_PJM_AP,PJM_AP,WND,0,0.0,0,0.0,,GEN_3742,0
MWH_PJM_AP,PJM_AP,MWH,0,16.0,0,0.0,,GEN_3743,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,18.0,0,0.0,,GEN_3744,0
WND_PJM_West,PJM_West,WND,0,0.0,0,0.0,,GEN_3745,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,3.8,0,0.0,,GEN_3746,0
SUN_S_C_TVA,S_C_TVA,SUN,0,0.9,0,0.0,,GEN_3747,0
SUN_PJM_ATSI,PJM_ATSI,SUN,0,8.0,0,0.0,,GEN_3748,0
WND_PJM_COMD,PJM_COMD,WND,0,0.0,0,0.0,,GEN_3749,0
SUN_PJM_WMAC,PJM_WMAC,SUN,0,1.8,0,0.0,,GEN_3750,0
LFG_PJM_AP,PJM_AP,LFG,0,1.6,0,0.0,,GEN_3751,0
LFG_PJM_AP,PJM_AP,LFG,0,1.6,0,0.0,,GEN_3752,0
LFG_PJM_AP,PJM_AP,LFG,0,1.6,0,0.0,,GEN_3753,0
LFG_PJM_AP,PJM_AP,LFG,0,1.6,0,0.0,,GEN_3754,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,1.0,0,0.0,,GEN_3755,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,8.0,0,0.0,,GEN_3756,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,3.0,0,0.0,,GEN_3757,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,3.0,0,0.0,,GEN_3758,0
SUN_PJM_EMAC,PJM_EMAC,SUN,0,2.0,0,0.0,,GEN_3759,0
WND_MIS_IL,MIS_IL,WND,0,0.0,0,0.0,,GEN_3760,0
SUN_PJM_WMAC,PJM_WMAC,SUN,0,1.0,0,0.0,,GEN_3761,0
NG_S_VACA,S_VACA,NG,0,15.0,0,0.0,,GEN_3762,0
NG_S_VACA,S_VACA,NG,0,15.0,0,0.0,,GEN_3763,0
WND_PJM_West,PJM_West,WND,0,0.0,0,0.0,,GEN_3764,0
