GEN_ID,PLANT_NAME,PLANT_TYPE,FUEL_TYPE,ZONE,BUS,PG,PMAX,PMIN,COST
65900_G_SPRIN,"Springwater Solar, LLC",Solar PV,Solar,PJM_ATSI,0,0,155.0,0,0.0
65902_G_5,Gans Solar,Solar PV,Solar,PJM_AP,0,0,14.0,0,0.0
65903_G_9,Pechin Solar,Solar PV,Solar,PJM_AP,0,0,14.0,0,0.0
65904_G_OHWT1,White Trillium Solar,Solar PV,Solar,PJM_West,0,0,49.5,0,0.0
65929_G_8,Listonburg Solar,Solar PV,Solar,PJM_PENE,0,0,15.0,0,0.0
65930_G_10,Redbud Run Solar,Solar PV,Solar,PJM_AP,0,0,30.0,0,0.0
65936_G_INHS1,Honeysuckle Solar Farm,Solar PV,Solar,PJM_West,0,0,150.0,0,0.0
65945_G_BESS,Brookville Smart Bus Depot Microgrid,Energy Storage,Energy Storage,PJM_SMAC,0,0,1.5,0,0.0
65945_G_GENS,Brookville Smart Bus Depot Microgrid,Combustion Turbine,Natural Gas,PJM_SMAC,0,0,1.8,0,2.55
65945_G_PV,Brookville Smart Bus Depot Microgrid,Solar PV,Solar,PJM_SMAC,0,0,1.7,0,0.0
65951_G_BG1,Bowling Green Energy Storage Project,Energy Storage,Energy Storage,PJM_ATSI,0,0,12.0,0,0.0
65952_G_AD1,Andover Energy Storage Project,Energy Storage,Energy Storage,PJM_EMAC,0,0,20.0,0,0.0
65953_G_HW1,Howell Energy Storage Project,Energy Storage,Energy Storage,PJM_EMAC,0,0,7.0,0,0.0
65958_G_GEN1,WMATA - Anacostia,Solar PV,Solar,PJM_SMAC,0,0,1.1,0,0.0
65959_G_GEN1,WMATA - Cheverly Metro,Solar PV,Solar,PJM_SMAC,0,0,1.9,0,0.0
65960_G_GEN1,WMATA - Naylor Rd. Metro,Solar PV,Solar,PJM_SMAC,0,0,1.7,0,0.0
65961_G_GEN1,WMATA - S. Ave. Carport (East),Solar PV,Solar,PJM_SMAC,0,0,1.7,0,0.0
65969_G_KKS2,Kankakee 2,Solar PV,Solar,PJM_COMD,0,0,1.5,0,0.0
65982_G_TCLP,KDC Solar TC Little Patuxent WWTP LLC,Solar PV,Solar,PJM_SMAC,0,0,2.0,0,0.0
65983_G_TCGH,KDC Solar TC George Howard LLC,Solar PV,Solar,PJM_SMAC,0,0,2.0,0,0.0
65984_G_TCBP,KDC Solar TC Blandair Park LLC,Solar PV,Solar,PJM_SMAC,0,0,2.0,0,0.0
65985_G_461,IGS AKC1,Solar PV,Solar,PJM_ATSI,0,0,3.8,0,0.0
65997_G_PCS1,Powell Creek Solar,Solar PV,Solar,PJM_West,0,0,150.0,0,0.0
65999_G_GC1,Great Cove Solar,Solar PV,Solar,PJM_AP,0,0,70.0,0,0.0
66010_G_460,"IGS CMH4, LLC",Solar PV,Solar,PJM_ATSI,0,0,4.2,0,0.0
66019_G_PA01,Lyons Solar,Solar PV,Solar,PJM_WMAC,0,0,20.0,0,0.0
66020_G_WSSP,DRPA Woodcrest Station Solar Project,Solar PV,Solar,PJM_EMAC,0,0,4.2,0,0.0
66021_G_ASSA1,DRPA Ashland Station Solar Project,Solar PV,Solar,PJM_EMAC,0,0,2.5,0,0.0
