Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit
AES Warrior Run Cogeneration Facility,10678_B_BLR1,10678,B,BLR1,3575.0,Coal Steam,,PJM_AP,Maryland,24,Allegany,1,24001,180.0,8909,2000,2024,FBC,dry,Y,"Bituminous, Waste Coal",Reagent Injection,2000.0,0.95,NH3,SNCR,,2000.0,B,,,,,0.42,0.07105,0.07105,0.07105,0.07105,0.01,0.01,0.01,0.98,Yes,2000.0,,,,,
Herbert A Wagner,1554_B_1,1554,B,1,1007.0,O/G Steam,,PJM_SMAC,Maryland,24,Anne Arundel,3,24003,126.0,10859,1956,2025,wall,dry,N,"Natural Gas, Residual Fuel Oil",,,,LNB,SNCR,,,ESPC,No,,,,,0.09203,0.09203,0.09203,0.09203,,,,,,,,,,,
Herbert A Wagner,1554_B_3,1554,B,3,1009.0,Coal Steam,,PJM_SMAC,Maryland,24,Anne Arundel,3,24003,305.0,10767,1966,2028,wall,dry,N,"Bituminous, Subbituminous",,,,LNBO,SCR,2002.0,,ESPC,No,ACI,2010.0,0.9,1.2,0.3254,0.07951,0.3254,0.07951,0.1,0.1,0.1,0.98,Yes,2016.0,,,C2G (RFO),2024.0,
Herbert A Wagner,1554_B_4,1554,B,4,1010.0,O/G Steam,,PJM_SMAC,Maryland,24,Anne Arundel,3,24003,397.0,10961,1972,2028,wall,dry,N,Residual Fuel Oil,,,,BOOS + LA + LNB,,,,ESPC,No,,,,0.6,0.23528,0.23528,0.23528,0.23528,,,,,,,,,,,
Morgantown Generating Plant,1573_G_3,1573,G,3,1069.0,Combustion Turbine,,PJM_SMAC,Maryland,24,Charles,17,24017,54.0,14269,1973,2024,,,N,Distillate Fuel Oil,,,,,,,,,,,,,0.3,0.54196,0.54196,0.54196,0.54196,,,,,,,,,,,
Morgantown Generating Plant,1573_G_4,1573,G,4,1070.0,Combustion Turbine,,PJM_SMAC,Maryland,24,Charles,17,24017,54.0,14270,1973,2024,,,N,Distillate Fuel Oil,,,,,,,,,,,,,0.3,0.54212,0.54212,0.54212,0.54212,,,,,,,,,,,
Morgantown Generating Plant,1573_G_5,1573,G,5,1071.0,Combustion Turbine,,PJM_SMAC,Maryland,24,Charles,17,24017,54.0,14270,1973,2024,,,N,Distillate Fuel Oil,,,,,,,,,,,,,0.3,0.54205,0.54205,0.54205,0.54205,,,,,,,,,,,
Morgantown Generating Plant,1573_G_6,1573,G,6,1072.0,Combustion Turbine,,PJM_SMAC,Maryland,24,Charles,17,24017,54.0,14270,1973,2024,,,N,Distillate Fuel Oil,,,,,,,,,,,,,0.3,0.54197,0.54197,0.54197,0.54197,,,,,,,,,,,
Herbert A Wagner,1554_G_GT1,1554,G,GT1,,Combustion Turbine,,PJM_SMAC,Maryland,24,Anne Arundel,3,24003,12.9,13097,1967,2025,,,N,Distillate Fuel Oil,,,,,,,,,,,,,1.053,0.70576,0.70576,0.70576,0.70576,,,,,,,,,,,
Sayreville,2390_G_GT1,2390,G,GT1,1460.0,Combustion Turbine,,PJM_EMAC,New Jersey,34,Middlesex,23,34023,57.1,22524,1972,2024,,,N,"Natural Gas, Distillate Fuel Oil",,,,H2O,SCR,,,,,,,,0.001,0.14976,0.14976,0.14976,0.14976,,,,,,,,,,,
Sayreville,2390_G_GT2,2390,G,GT2,1461.0,Combustion Turbine,,PJM_EMAC,New Jersey,34,Middlesex,23,34023,56.7,22529,1972,2024,,,N,"Natural Gas, Distillate Fuel Oil",,,,H2O,SCR,,,,,,,,0.001,0.14997,0.14997,0.14997,0.14997,,,,,,,,,,,
Sayreville,2390_G_GT3,2390,G,GT3,1462.0,Combustion Turbine,,PJM_EMAC,New Jersey,34,Middlesex,23,34023,54.6,22529,1972,2024,,,N,"Natural Gas, Distillate Fuel Oil",,,,H2O,SCR,,,,,,,,0.001,0.14975,0.14975,0.14975,0.14975,,,,,,,,,,,
Sayreville,2390_G_GT4,2390,G,GT4,1463.0,Combustion Turbine,,PJM_EMAC,New Jersey,34,Middlesex,23,34023,48.5,22529,1973,2024,,,N,"Natural Gas, Distillate Fuel Oil",,,,H2O,SCR,,,,,,,,0.001,0.14988,0.14988,0.14988,0.14988,,,,,,,,,,,
