Time,Month,Day,Hour,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West
6191,9,258,24,4764.85930522535,6689.3748350188,9865.8376902237,11654.506100817,14601.3262761785,1721.87700787249,6249.31641268968,5213.8511286421,20054.6969797929
6192,9,259,1,4784.07936845508,6727.33084317988,9512.26640482366,11628.9192216079,14438.9776168957,1762.68859251794,6209.19383904788,5279.53456311993,20046.2095018857
6193,9,259,2,4929.73255415563,6975.22369095678,9334.94202022802,11878.5478922401,14949.2715021243,1869.29698196174,6525.1600067718,5620.23159583486,20947.7401440739
6194,9,259,3,5268.4451320137,7599.22377061872,9461.78802553553,12388.5671367229,16120.3336520938,1994.17800861089,7187.8481829241,6184.19718872509,22851.0967632755
6195,9,259,4,5384.17165437366,7882.5411178134,10093.2071878909,12706.1928623693,16834.5345452254,2082.74808535102,7470.53496032778,6501.71619934195,23734.399174524
6196,9,259,5,5480.48186246705,8130.87685825079,11173.7147380625,12903.2884037108,17104.0297294553,2097.16235285608,7700.60592388353,6624.54231871069,24307.5977612254
6197,9,259,6,5604.24265605476,8526.90765644234,11864.6495457632,13113.0702049697,17442.6951539594,2163.10075452563,7946.85229152312,6767.35951561425,25645.9021880435
6198,9,259,7,5886.93680807546,8976.72615127122,12453.7336916184,13422.3735297368,17742.2146870486,2220.08021521929,8197.05868548365,6889.9868966584,27479.9446259452
6199,9,259,8,6143.93341374082,9364.21896511547,13034.242766513,13823.0252525979,18054.6110060342,2263.82934595784,8479.24896730533,6940.53086129686,29077.6170167862
6200,9,259,9,6454.11733577587,9838.90535092875,13926.6969352421,14247.997864668,18347.6343958872,2323.19455500378,8821.01412582644,7123.34569250956,31275.5133411269
6201,9,259,10,6685.39799384379,10285.0012448134,14899.4678626742,14617.9821258944,18612.6003767563,2358.02905089564,9134.63133141911,7307.72903259727,32742.3462151571
