Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9
,,,,,,,,188,5583.480971,8892.922516,13742.73933,12242.69246,16767.7297,2033.5682,7326.723949,5925.797541,26559.71388
,,,,,,,,189,5439.017718,8481.878857,13364.59951,11788.6836,15564.36467,1951.716866,6835.17145,5534.342943,25834.3936
,,,,,,,,190,5305.561714,8202.085836,12578.14153,11380.85693,14284.60473,1881.017757,6358.267282,5292.591859,25267.32402
,,,,,,,,191,5249.348874,8059.499865,11972.22865,11123.05947,13614.3584,1858.669195,6056.378155,5204.387619,25109.92617
,,,,,,,,192,5279.666389,7958.692,11539.0712,10960.43284,13140.87009,1851.47336,5804.271974,5170.2954,25000.96332
,,,,,,,,193,5353.078898,7926.472292,11242.54068,10902.17574,12788.28739,1858.637704,5682.48239,5210.077009,25031.8076
,,,,,,,,194,5393.351569,7901.256542,11031.20895,10944.42578,12643.03775,1876.144795,5717.007195,5338.617276,25361.82956
,,,,,,,,195,5531.673854,8027.43641,10943.56293,11122.95746,12835.22358,1923.96255,5900.900543,5643.893175,26008.15984
,,,,,,,,196,5784.780254,8257.317593,11036.57938,11452.34037,13401.18825,2007.916069,6308.497321,6114.812518,26871.02173
,,,,,,,,197,6056.017284,8492.341119,11302.25864,11959.38409,14247.86324,2100.881582,6833.564669,6592.540059,27785.90038
,,,,,,,,198,6272.34483,8715.640273,11673.09893,12432.01171,15183.75379,2174.30431,7406.022126,7001.974155,28561.14009
,,,,,,,,199,6487.068308,8897.387276,11924.46828,12901.52302,15885.35605,2278.182268,7851.105619,7345.331618,29183.48956
,,,,,,,,200,6581.148345,9036.200711,12029.91148,13154.31799,16113.50872,2334.665107,8040.04316,7474.334777,29257.4226
,,,,,,,,201,6597.984505,9035.72225,12054.70941,13286.23256,16199.83066,2344.057363,8029.207927,7509.849718,29100.27646
,,,,,,,,202,6524.16008,9021.544813,12062.04443,13284.89672,16230.9319,2324.320777,7805.615098,7399.661303,28806.62549
,,,,,,,,203,6425.870905,8957.426081,12096.2248,13307.50484,16286.26396,2299.307118,7779.140571,7307.849986,28539.18543
,,,,,,,,204,6411.959834,8924.076841,12010.36926,13413.98393,16656.99166,2283.870935,7884.655371,7276.620389,28308.18967
,,,,,,,,205,6566.001752,8943.197422,11875.41698,13569.34161,17256.1563,2296.433391,8028.097824,7374.184236,28389.49304
,,,,,,,,206,6791.210381,9042.404534,11785.89583,13964.40969,18398.42319,2360.182776,8570.289124,7696.147196,28814.31971
,,,,,,,,207,7107.268495,9454.458636,11896.75858,14675.05153,19674.57383,2460.500969,9178.975814,8119.79396,30181.79986
