Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
PJM_West_KY_WindClass 8_4,9,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_West,1
PJM_West_MI_WindClass 5_6,9,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_West,1
PJM_West_MI_WindClass 6_5,9,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_West,1
PJM_West_OH_WindClass 5_6,9,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_West,1
PJM_West_OH_WindClass 7_5,9,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_West,1
PJM_West_OH_WindClass 8_4,9,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_West,1
PJM_West_VA_WindClass 1_7,9,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_West,1
PJM_West_VA_WindClass 4_6,9,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_West,1
PJM_West_VA_WindClass 7_5,9,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_West,1
PJM_West_WV_WindClass 5_6,9,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_West,1
PJM_West_WV_WindClass 7_5,9,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_West,1
PJM_West_WV_WindClass 8_4,9,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_West,1
PJM_ATSI_OH_WindClass 3_7,2,1,0,0,0,4657,0,291600,129615,0.1,0,0,0,0,PJM_ATSI,1
PJM_Dom_NC_WindClass 2_7,4,1,0,0,0,5983,0,291600,129615,0.1,0,0,0,0,PJM_Dom,1
PJM_Dom_VA_WindClass 2_7,4,1,0,0,0,3412,0,291600,129615,0.1,0,0,0,0,PJM_Dom,1
PJM_Dom_VA_WindClass 4_6,4,1,0,0,0,2,0,291600,129615,0.1,0,0,0,0,PJM_Dom,1
PJM_EMAC_DE_WindClass 1_8,5,1,0,0,0,2894,0,291600,129615,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_DE_WindClass 2_7,5,1,0,0,0,3261,0,291600,129615,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_MD_WindClass 2_7,5,1,0,0,0,2423,0,291600,129615,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_NJ_WindClass 1_8,5,1,0,0,0,11881,0,291600,129615,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_NJ_WindClass 2_7,5,1,0,0,0,5443,0,291600,129615,0.1,0,0,0,0,PJM_EMAC,1
